Date,Time,Open,High,Low,Close,Volume
2023.08.30,16:00:00,4501.8,4503.5,4498.3,4501.5,387
2023.08.30,16:15:00,4501.3,4502,4498.8,4501.5,336
2023.08.30,16:30:00,4501,4509.5,4500.5,4504.7,1301
2023.08.30,16:45:00,4505,4519.3,4505,4518.2,1090
2023.08.30,17:00:00,4518.3,4522.1,4516.8,4521.2,942
2023.08.30,17:15:00,4521.1,4521.6,4493.8,4498.6,1128
2023.08.30,17:30:00,4498.7,4507.6,4498.5,4505.1,1039
2023.08.30,17:45:00,4505,4512.6,4502.8,4511.8,887
2023.08.30,18:00:00,4512.1,4512.3,4503.5,4509.7,864
2023.08.30,18:15:00,4509.6,4511.5,4506.5,4510.7,783
2023.08.30,18:30:00,4510.8,4517.6,4509.6,4516.2,663
2023.08.30,18:45:00,4516.3,4516.7,4511.7,4516.7,633
2023.08.30,19:00:00,4516.7,4516.8,4513.7,4516.5,634
2023.08.30,19:15:00,4516.2,4520.6,4516,4519,544
2023.08.30,19:30:00,4519.5,4521.6,4516,4520.5,547
2023.08.30,19:45:00,4520.5,4522.7,4516.6,4520.3,537
2023.08.30,20:00:00,4520.2,4520.6,4517.7,4519,503
2023.08.30,20:15:00,4518.8,4519.1,4515.2,4515.5,517
2023.08.30,20:30:00,4515.3,4520,4515.2,4518.7,489
2023.08.30,20:45:00,4518.6,4519.5,4509.5,4513.6,623
2023.08.30,21:00:00,4513.6,4514.6,4507.1,4512.6,705
2023.08.30,21:15:00,4512.6,4513.8,4506.3,4507.5,701
2023.08.30,21:30:00,4507.3,4517.2,4507,4517,650
2023.08.30,21:45:00,4517,4518.6,4515.1,4517.7,548
2023.08.30,22:00:00,4518,4520,4517.1,4518.6,572
2023.08.30,22:15:00,4518.7,4519,4513.8,4515.1,628
2023.08.30,22:30:00,4515.2,4517.2,4513.5,4514.5,659
2023.08.30,22:45:00,4514.5,4517.8,4512,4516.6,741
2023.08.30,23:00:00,4516.3,4518.3,4515.1,4518.3,113
2023.08.30,23:15:00,4518,4519,4517.8,4519,36
2023.08.30,23:30:00,4518.8,4519.8,4518.3,4518.5,37
2023.08.30,23:45:00,4518.3,4519.5,4518.3,4519,24
2023.08.31,1:00:00,4518.4,4518.4,4517.2,4517.4,58
2023.08.31,1:15:00,4517.4,4517.9,4517.1,4517.6,19
2023.08.31,1:30:00,4517.6,4517.9,4517.4,4517.6,31
2023.08.31,1:45:00,4517.6,4517.6,4516.9,4516.9,24
2023.08.31,2:00:00,4516.9,4517.1,4516.9,4516.9,23
2023.08.31,2:15:00,4516.9,4517.1,4516.6,4516.9,28
2023.08.31,2:30:00,4516.9,4516.9,4515.9,4516.1,27
2023.08.31,2:45:00,4516.1,4516.9,4515.9,4516.4,40
2023.08.31,3:00:00,4516.6,4517.9,4516.4,4517.4,56
2023.08.31,3:15:00,4517.6,4519.9,4517.4,4519.4,67
2023.08.31,3:30:00,4519.2,4519.4,4517.1,4517.9,47
2023.08.31,3:45:00,4517.6,4517.9,4517.4,4517.4,23
2023.08.31,4:00:00,4517.4,4517.6,4516.9,4517.6,39
2023.08.31,4:15:00,4517.4,4518.9,4517.4,4517.9,54
2023.08.31,4:30:00,4518.1,4520.1,4518.1,4518.9,128
2023.08.31,4:45:00,4519.1,4519.4,4518.4,4518.6,102
2023.08.31,5:00:00,4518.9,4519.4,4518.5,4518.9,62
2023.08.31,5:15:00,4519.1,4522.9,4518.9,4520.9,58
2023.08.31,5:30:00,4520.6,4521.4,4520.6,4520.9,82
2023.08.31,5:45:00,4520.9,4520.9,4518.6,4518.6,79
2023.08.31,6:00:00,4518.9,4519.6,4517.6,4518.9,94
2023.08.31,6:15:00,4519.1,4519.4,4518.1,4518.6,69
2023.08.31,6:30:00,4518.6,4519.9,4518.6,4519.9,39
2023.08.31,6:45:00,4519.9,4520.6,4519.1,4519.6,52
2023.08.31,7:00:00,4519.6,4520.6,4519.4,4520.4,56
2023.08.31,7:15:00,4520.4,4521.1,4520.1,4520.4,39
2023.08.31,7:30:00,4520.6,4521.4,4519.9,4519.9,35
2023.08.31,7:45:00,4519.9,4520.1,4519.4,4519.4,44
2023.08.31,8:00:00,4519.1,4519.6,4518.6,4519.4,44
2023.08.31,8:15:00,4519.1,4519.1,4516.1,4517.1,87
2023.08.31,8:30:00,4516.9,4518.1,4516.6,4517.6,89
2023.08.31,8:45:00,4517.9,4519.6,4517.6,4519.6,62
2023.08.31,9:00:00,4519.9,4520.4,4516.6,4517.9,128
2023.08.31,9:15:00,4517.9,4519.9,4517.6,4518.4,76
2023.08.31,9:30:00,4518.1,4519.6,4517.6,4518.4,62
2023.08.31,9:45:00,4517.9,4519.1,4516.4,4517.1,121
2023.08.31,10:00:00,4517.1,4520.9,4516.1,4517.6,249
2023.08.31,10:15:00,4517.1,4520.4,4516.6,4520.1,223
2023.08.31,10:30:00,4520.4,4522.1,4520.1,4521.1,158
2023.08.31,10:45:00,4521.4,4523.6,4521.1,4522.9,124
2023.08.31,11:00:00,4522.9,4522.9,4520.1,4522.9,153
2023.08.31,11:15:00,4522.6,4522.6,4519.9,4520.9,134
2023.08.31,11:30:00,4521.1,4522.1,4519.6,4521.1,98
2023.08.31,11:45:00,4521.1,4522.4,4520.9,4522.1,70
2023.08.31,12:00:00,4522.4,4522.9,4515.4,4517.9,203
2023.08.31,12:15:00,4517.6,4519.1,4516.6,4517.9,199
2023.08.31,12:30:00,4518.4,4518.6,4516.9,4517.4,182
2023.08.31,12:45:00,4517.6,4518.4,4514.9,4516.9,121
2023.08.31,13:00:00,4517.1,4520.4,4516.9,4519.6,174
2023.08.31,13:15:00,4519.8,4520.9,4519.4,4520.6,129
2023.08.31,13:30:00,4520.6,4520.9,4518.6,4519.1,159
2023.08.31,13:45:00,4518.9,4520.1,4518.4,4518.9,111
2023.08.31,14:00:00,4518.9,4520.4,4516.6,4520.1,151
2023.08.31,14:15:00,4520.1,4521.4,4519.6,4521,131
2023.08.31,14:30:00,4521.1,4527.9,4520.9,4527.6,182
2023.08.31,14:45:00,4527.6,4528.9,4526.4,4527.1,163
2023.08.31,15:00:00,4527.1,4528.6,4525.6,4528.6,193
2023.08.31,15:15:00,4529.1,4530.9,4528.4,4529.3,218
2023.08.31,15:30:00,4529.3,4532.9,4524.1,4524.1,672
2023.08.31,15:45:00,4524.4,4526.1,4523.4,4525.6,304
2023.08.31,16:00:00,4525.4,4525.9,4519.6,4521.6,316
2023.08.31,16:15:00,4521.4,4521.9,4518.6,4519.4,316
2023.08.31,16:30:00,4519.2,4525.9,4518.7,4520.6,1238
2023.08.31,16:45:00,4520.8,4528.7,4517.1,4527.6,1289
2023.08.31,17:00:00,4527.7,4528.4,4521.3,4528.1,1004
2023.08.31,17:15:00,4527.7,4529.9,4525.2,4529.2,769
2023.08.31,17:30:00,4529.8,4531.5,4527.7,4527.8,651
2023.08.31,17:45:00,4527.8,4528.7,4521.3,4526.4,844
